cited_by_count,avg_favourites_count,avg_statuses_count,avg_followers_count,author_id
1977,291,294,176,1015
108,548,678,219,1016
28,2322,1879,304,1017
5,884,666,654,1018
263,173,82,149,1019
717,4493,2982,917,1020
85,822,1830,444,1021
8571,2236,989,1546,1022
1898,459,152,612,1023
488,1891,2220,280,1024
3072,1891,2220,280,1025
20019,468,512,4117,1026
2335,196,146,992,1027
36,1606,1716,641,1028
763,5828,1481,132,1029
497,1699,2643,1363,1030
25,315,410,447,1031
1,11732,2902,6944,1032
1157,1543,737,662,1033
239,374,1128,511,1034
501,769,192,312,1035
2,0,526,27,1036
1423,1188,897,2021,1037
131,609,215,173,1038
211,3992,875,1406,1039
191,1263,932,341,1040
1153,678,1092,232,1041
293,678,1092,232,1042
216,267,210,96,1043
315,3522,3047,323,1044
258,3969,923,634,1045
276,1493,401,747,1046
7,2364,5843,351,1047
37,981,1452,137,1048
3,6749,685,132,1049
26,153,69,432,1050
11,153,69,432,1051
39,636,102,566,1052
2299,1848,849,732,1053
145,856,3082,531,1054
86,973,3875,531,1055
289,740,140,121,1056
16,3531,853,315,1057
11,48,480,122,1058
6,9155,3259,537,1059
159,4989,1888,1227,1060
1655,1612,210,613,1061
153,1876,142,172,1062
16,1412,3367,275,1063
1811,39,190,295,1064
577,516,186,120,1065
150,682,272,95,1066
601,466,829,141,1067
277,3900,1117,728,1068
1759,601,4752,811,1069
3886,56,2225,144,1070
10,2651,265,194,1071
156,1729,1754,2302,1072
119,49,307,30,1073
3586,0,2129,1677,1074
103,3552,1345,735,1075
162,87,553,330,1076
26488,239,700,1416,1077
125,1816,230,591,1078
12184,11,190,76,1079
1160,2045,1702,837,1080
40,1334,260,242,1081
427,129,256,466,1082
97,14179,2837,672,1083
98,5938,2728,969,1084
18,2179,1802,1899,1085
241,44,564,64,1086
4397,92,161,1137,1087
952,2327,736,493,1088
129,2218,452,131,1089
348,2992,1201,1076,1090
13800,850,250,548,1091
2965,850,250,548,1092
193,302,148,197,1093
5303,850,419,537,1094
539,1077,487,667,1095
162,300,86,97,1096
718,676,982,635,1097
194,285,159,235,1098
440,253,1081,47,1099
574,320,1407,164,1100
24,1015,1410,376,1101
104,1520,3045,1507,1102
10533,3613,1023,6208,1103
1361,3530,2439,2073,1104
1656,1141,2692,817,1105
1101,670,2586,516,1106
31,537,107,80,1107
1855,2477,2365,971,1108
852,6528,664,633,1109
638,3637,1705,1004,1110
147,670,399,182,1111
629,1225,142,188,1112
45,2345,226,260,1113
66,727,234,395,1114
2770,213,529,720,1115
363,572,8296,24849,1116
3199,1760,538,442,1117
118,6661,4355,771,1118
96,2070,869,716,1119
172,10393,960,1028.4999999999986,1120
7,10393,960,1028.4999999999986,1121
273,1018,892,324,1122
37,1204,187,247,1123
1,2008,785,6364,1124
1111,111,304,309,1125
561,199,1115,562,1126
604,582,204,1414,1127
173,14647,1682,647,1128
33,2368,2723,231,1129
758,421,449,128,1130
1179,1173,324,1000,1131
997,4109,371,121,1132
93,1937,857,95,1133
579,2990,5534,1008,1134
46,2811,356,62,1135
121,865,442,248,1136
640,85,336,114,1137
653,273,603,403,1138
703,521,574,827,1139
745,295,418,340,1140
23,4690,1360,561,1141
73,2097,210,247,1142
46,1530,749,486,1143
548,1099,1358,1129,1144
9456,803,1263,1075.3333333333342,1145
312,803,1263,1075.3333333333342,1146
128,803,1263,1075.3333333333342,1147
1290,1284,493,359,1148
2,552,686,159,1149
94,1938,435,192,1150
324,1721,394,694,1151
